SKU,Category,New.Category,EDC.Available
10111330,A,A,1
10509358,A,A,1
10202507,A,A,1
10418372,A,A,1
10468706,A,A,1
10111196,A,A,1
10347034,A,A,1
10513538,A,A,1
10058762,A,A,1
10383532,A,A,1
10334660,A,A,1
10403380,A,A,1
10254250,A,A,1
10334662,A,A,1
10408290,A,A,1
10291166,A,A,1
10258992,A,A,1
10128438,A,A,1
10537343,A,A,0
10259547,A,A,1
10418796,A,A,1
10473163,A,A,1
10188592,A,A,1
10240778,A,A,1
10314146,A,A,1
10584497,A,A,1
10352736,A,A,1
10333466,A,A,1
10219092,A,A,1
10172045,A,A,1
10409529,A,A,1
10356412,A,A,1
10353841,A,A,1
10522637,A,A,0
10593778,A,A,0
10552921,A,A,1
10518767,A,A,1
10334891,A,A,1
10232768,A,A,1
10269514,A,A,1
10014391,A,A,1
10266100,A,A,1
10051212,A,A,1
10406279,A,A,1
10672253,A,A,1
10189656,A,A,1
10403143,A,A,1
10243067,A,A,1
10156895,A,A,1
10472527,A,A,1
10272814,A,A,1
10177044,A,A,1
10248027,A,A,1
10242170,A,A,1
10530808,A,A,1
10411716,A,A,1
10559702,A,A,0
10276845,A,A,1
10388767,A,A,1
10103358,A,A,0
10147254,A,A,1
10279611,A,A,1
10239895,A,A,1
10315015,A,A,1
10317966,A,A,1
10338444,A,A,1
10230779,A,A,1
10212863,A,A,1
10112321,A,A,1
10230613,A,A,1
10259518,A,A,1
10232312,A,A,1
10135038,A,A,1
10477351,A,A,1
10601363,A,A,1
10063422,A,A,1
10442844,A,A,1
10185425,A,A,1
10258505,A,A,1
10108935,A,A,1
10178979,A,A,1
10540427,A,A,0
10046097,A,A,1
10545857,A,A,1
10573613,A,A,1
10400966,A,A,1
10347267,A,A,1
10267576,A,A,1
10375030,A,A,1
10335746,A,A,1
10192679,A,A,1
10213118,A,A,1
10111314,A,A,1
10185556,A,A,1
10546446,A,A,1
10185687,A,A,1
10330698,A,A,1
10196927,A,A,1
10602150,A,A,1
10414810,A,A,1
10525791,A,A,1
10324518,A,A,1
10503912,A,A,1
10186027,A,A,1
10500998,A,A,1
10564028,A,A,1
10295418,A,A,1
10537297,A,A,1
10225849,A,A,1
10326635,A,A,1
10502272,A,A,1
10177040,A,A,1
10149891,A,A,1
10223865,A,A,1
10314627,A,A,1
10392662,A,A,1
10402435,A,A,1
10094578,A,A,1
10002287,A,A,1
10314945,A,A,1
