,Cust_State,Sales,Longitude,Latitude,Units,Orders,Cluster
33,TN,1785848.912452719,-86.45657238602934,35.79463090686273,256521.0,114914.0,2.0
34,KY,1320655.181856657,-84.81892687403109,37.61321107558135,194646.0,89775.0,2.0
35,OH,3298124.313201024,-82.74078830440607,40.388379106141535,501142.0,226006.0,2.0
36,IN,1872831.0612895659,-86.28425005329457,39.92696671802328,285052.0,129276.0,3.0
37,MI,3459737.772131591,-84.7393420922692,43.458386228595145,564957.0,253926.0,3.0
38,P,190749.157589707,-84.25712419130038,47.35397361252358,27163.0,15647.0,3.0
39,MN,1930754.8407050807,-94.11585473339672,45.56461866982928,320880.0,141543.0,3.0
40,WI,1946084.3503915463,-89.53277944893624,44.10561048723405,340026.0,145307.0,3.0
41,IA,877390.4508620834,-93.35259181088537,42.03104158763833,137600.0,60347.0,3.0
42,IL,4160943.022380439,-88.99676377504593,40.41387792931774,661753.0,300795.0,3.0
43,MO,1885923.800790383,-92.45494306183018,38.38482655729599,290864.0,128917.0,3.0
44,AR,569889.7008523991,-92.38092674898229,35.11194386160108,82244.0,37246.0,4.0
45,LA,1199645.281568114,-91.71963621324498,30.916454238410576,184044.0,80346.0,4.0
46,TX,6782876.137147253,-98.06315347794383,31.27716280167681,995379.0,445944.0,4.0
47,OK,751117.8108870733,-96.99869426918231,35.519399738364704,107610.0,50776.0,4.0
48,NM,397950.520366086,-106.15317122675751,34.67171254421768,67577.0,28702.0,4.0
49,CO,1879196.4403394356,-105.29349037352937,39.25645815441182,301446.0,134618.0,4.0
50,KS,821525.4808068903,-97.13040319900489,38.516694337064685,121394.0,54359.0,4.0
51,NE,550899.4702367772,-98.17969038775526,41.19567994034534,82871.0,36481.0,4.0
52,WY,173586.71022905898,-107.23295582914575,42.88722356281404,27019.0,12006.0,4.0
53,SD,243721.45007137215,-99.15341047099767,44.306925470997676,38652.0,16890.0,4.0
54,ND,274342.5700723681,-99.64736574013926,47.511297928074256,43370.0,18316.0,4.0
55,R,139118.33824267422,-97.6233254793372,50.10959266287133,20050.0,11536.0,4.0
56,X,1244.0901929259999,-113.13062493643524,62.8886680929653,201.0,124.0,4.0
57,S,163247.3234765053,-105.665242566469,51.304807541707675,23603.0,12950.0,4.0
58,T,520409.9788630866,-113.68306294498004,52.288302695290994,81755.0,46938.0,4.0
59,MT,339754.38007221324,-110.30170605275778,46.93925562350116,56083.0,23097.0,4.0
60,ID,485852.25992976915,-114.86423627002979,44.53219026706228,79454.0,31726.0,4.0
61,UT,926570.8103292622,-111.82478212640463,39.92115921910115,141636.0,55145.0,5.0
62,AZ,1607394.1107087764,-111.69072793308548,33.625361104089244,247772.0,105960.0,5.0
63,NV,820809.580297505,-116.73172182758621,38.00413290948275,129969.0,57708.0,5.0
64,CA,12293840.054780778,-119.7739982643589,36.143225171943904,1994047.0,880063.0,5.0
65,HI,117610.76995462002,-160.24180725675674,21.988660087837857,20007.0,8517.0,5.0
66,AS,0.0,-170.7716,-7.209975,0.0,0.0,5.0
67,OR,1137674.2301449499,-122.07812879595953,44.53234251515151,179638.0,80068.0,5.0
68,WA,1988685.5901337776,-121.173348420624,47.328745332428774,314688.0,136241.0,5.0
69,V,487680.3202961126,-122.59292412057515,49.65168492175678,74793.0,43495.0,5.0
70,Y,476.40170191000004,-135.0843153080805,60.758480971671275,30.0,26.0,5.0
71,AK,112825.15002275503,-152.49551165313665,61.48793337638374,19069.0,6763.0,5.0
