,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
166,1,E1N,A,0.0,4,2,CA,E,0.0,E
167,1,E1N,Non-A,11.8221,3,2,CA,E,0.0,E
168,1,E1N,Seasonal,0.0,2,1,CA,E,0.0,E
169,1,E1V,A,75.1938,9,3,CA,E,0.0,E
170,1,E1V,Non-A,0.0,1,1,CA,E,0.0,E
171,1,E1V,Seasonal,0.0,3,1,CA,E,0.0,E
172,1,E1W,A,43.0195,7,1,CA,E,0.0,E
173,1,E2A,A,89.2717,9,3,CA,E,0.0,E
174,1,E2A,Non-A,27.6207,12,2,CA,E,0.0,E
175,1,E2E,A,176.9078,13,5,CA,E,0.0,E
176,1,E2E,Non-A,0.0,1,1,CA,E,0.0,E
177,1,E2E,Seasonal,0.0,2,1,CA,E,0.0,E
178,1,E2K,A,337.8585,75,2,CA,E,0.0,E
179,1,E2L,A,183.7288,19,2,CA,E,0.0,E
180,1,E2M,A,147.5578,16,3,CA,E,0.0,E
181,1,E2M,Non-A,261.5106,1,1,CA,E,0.0,E
182,1,E2P,Non-A,72.9635,14,1,CA,E,0.0,E
183,1,E2V,A,190.4173,45,3,CA,E,0.0,E
184,1,E2V,Seasonal,0.0,1,1,CA,E,0.0,E
185,1,E3A,A,81.6318,5,3,CA,E,0.0,E
186,1,E3A,Non-A,26.121,8,2,CA,E,0.0,E
187,1,E3B,A,441.9016,74,6,CA,E,0.0,E
188,1,E3B,Non-A,42.1421,19,3,CA,E,0.0,E
189,1,E3B,Seasonal,0.0,1,1,CA,E,0.0,E
190,1,E3N,A,1009.4217,91,2,CA,E,0.0,E
191,1,E3N,Non-A,96.8149,5,2,CA,E,0.0,E
192,1,E3N,Seasonal,0.0,2,1,CA,E,0.0,E
193,1,E3V,A,376.6863,32,3,CA,E,0.0,E
194,1,E3Y,A,36.8845,1,1,CA,E,0.0,E
195,1,E4E,A,51.1267,3,1,CA,E,0.0,E
196,1,E4H,A,27.5746,3,2,CA,E,0.0,E
197,1,E4H,Non-A,8.2916,4,2,CA,E,0.0,E
198,1,E4J,A,207.0993,75,1,CA,E,0.0,E
199,1,E4K,A,76.9171,5,1,CA,E,0.0,E
200,1,E4L,A,9.9992,1,1,CA,E,0.0,E
201,1,E4P,A,4.4381,1,1,CA,E,0.0,E
202,1,E4P,Non-A,0.0,3,1,CA,E,0.0,E
203,1,E4P,Seasonal,25.5824,1,1,CA,E,0.0,E
204,1,E4R,Non-A,6.9148,1,1,CA,E,0.0,E
205,1,E4V,A,210.4718,66,6,CA,E,0.0,E
206,1,E4W,A,89.9621,4,1,CA,E,0.0,E
207,1,E4W,Non-A,10.753,2,1,CA,E,0.0,E
208,1,E4Y,A,19.7984,1,1,CA,E,0.0,E
209,1,E4Y,Non-A,0.0,5,1,CA,E,0.0,E
210,1,E4Z,A,82.7916,5,2,CA,E,0.0,E
211,1,E5B,A,32.2358,9,1,CA,E,0.0,E
212,1,E5G,A,19.1907,5,1,CA,E,0.0,E
213,1,E5K,Non-A,13.8143,6,1,CA,E,0.0,E
214,1,E6C,A,3.8381,1,1,CA,E,0.0,E
215,1,E6K,A,14.6372,10,1,CA,E,0.0,E
216,1,E7C,A,11.045,4,1,CA,E,0.0,E
217,1,E7H,Non-A,12.4067,2,1,CA,E,0.0,E
218,1,E7M,A,0.0,1,1,CA,E,0.0,E
219,1,E7M,Non-A,48.4269,3,1,CA,E,0.0,E
220,1,E8E,A,79.1554,9,2,CA,E,0.0,E
221,1,E8E,Non-A,0.0,4,1,CA,E,0.0,E
222,1,E8K,A,86.154,7,1,CA,E,0.0,E
223,1,E8S,A,69.1485,19,2,CA,E,0.0,E
224,1,E8S,Non-A,59.1723,3,1,CA,E,0.0,E
225,1,E8T,A,42.2197,16,1,CA,E,0.0,E
226,1,E9E,A,22.998,10,1,CA,E,0.0,E
227,1,FL,A,286358.6,51526,6502,US,FL,2.0,FL
228,1,FL,Non-A,79407.92,15058,3118,US,FL,2.0,FL
229,1,FL,Seasonal,92169.09,17204,3000,US,FL,2.0,FL
230,1,G0A,A,96.3,5,1,CA,G,0.0,G
231,1,G0C,A,36.8893,34,3,CA,G,0.0,G
232,1,G0C,Non-A,175.5164,24,4,CA,G,0.0,G
233,1,G0G,A,21.506,21,4,CA,G,0.0,G
234,1,G0G,Non-A,294.5693,46,5,CA,G,0.0,G
235,1,G0H,A,51.4882,6,1,CA,G,0.0,G
236,1,G0J,A,305.1623,47,5,CA,G,0.0,G
237,1,G0J,Non-A,28.4361,11,2,CA,G,0.0,G
238,1,G0K,A,140.0498,41,2,CA,G,0.0,G
239,1,G0K,Non-A,0.0,6,1,CA,G,0.0,G
240,1,G0L,A,21.506,6,1,CA,G,0.0,G
241,1,G0M,A,25.3363,6,1,CA,G,0.0,G
242,1,G0R,A,134.4887,21,4,CA,G,0.0,G
243,1,G0R,Non-A,16.914,8,4,CA,G,0.0,G
244,1,G0R,Seasonal,0.0,2,1,CA,G,0.0,G
245,1,G0S,A,253.0755,47,5,CA,G,0.0,G
246,1,G0S,Non-A,24.5825,6,1,CA,G,0.0,G
247,1,G0S,Seasonal,23.0674,2,2,CA,G,0.0,G
248,1,G0T,A,30.2591,6,1,CA,G,0.0,G
249,1,G0V,A,165.7249,42,1,CA,G,0.0,G
250,1,G0V,Non-A,0.0,12,1,CA,G,0.0,G
251,1,G0W,A,101.3996,22,1,CA,G,0.0,G
252,1,G0W,Non-A,30.7898,10,2,CA,G,0.0,G
253,1,G0X,A,130.5047,35,4,CA,G,0.0,G
254,1,G0X,Non-A,92.1995,18,3,CA,G,0.0,G
255,1,G0X,Seasonal,0.0,10,3,CA,G,0.0,G
256,1,G0Z,A,14.7372,5,1,CA,G,0.0,G
257,1,G1B,A,33.8121,7,1,CA,G,0.0,G
258,1,G1B,Non-A,27.4055,9,2,CA,G,0.0,G
259,1,G1C,A,49.9192,10,1,CA,G,0.0,G
260,1,G1G,A,0.0,8,1,CA,G,0.0,G
261,1,G1G,Non-A,46.8117,1,1,CA,G,0.0,G
262,1,G1H,A,36.8587,12,1,CA,G,0.0,G
263,1,G1H,Non-A,2.1075,1,1,CA,G,0.0,G
264,1,G1J,A,19.9753,4,1,CA,G,0.0,G
265,1,G1K,A,26.5901,2,1,CA,G,0.0,G
266,1,G1K,Non-A,0.0,1,1,CA,G,0.0,G
267,1,G1L,A,30.6899,10,1,CA,G,0.0,G
268,1,G1N,A,46.3272,10,1,CA,G,0.0,G
269,1,G1P,A,155.9335,15,2,CA,G,0.0,G
